programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,691573,F,Ikke bestått,2011,s
BIT,691573,E,Bestått,2012,v
BIT,691573,,Gyldig fravær,2013,v
BIT,692558,,Ikke møtt,2010,v
BIT,692558,,Ikke møtt,2011,v
BIT,692558,,Ikke møtt,2012,v
BIT,692937,,Manglende øvinger,2012,v
BIT,693049,,Manglende øvinger,2011,v
BIT,694086,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,694086,C,Bestått,2011,s
BIT,694574,F,Ikke bestått,2011,v
BIT,694574,F,Ikke bestått,2011,s
BIT,694574,F,Ikke bestått,2012,v
BIT,694574,,Ikke møtt,2012,s
BIT,694574,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,694574,,Ikke møtt,2013,s
BIT,694574,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,694574,,Ikke møtt,2014,s
BIT,694574,,Trekk under eksamen (Avbrutt eksamen),2015,v
BIT,694574,,Ikke møtt,2015,s
BIT,694574,,Ikke møtt,2016,v
BIT,694574,,Ikke møtt,2017,v
BIT,697147,,Manglende øvinger,2010,v
BIT,697147,,Manglende øvinger,2011,v
BIT,697147,,Manglende øvinger,2012,v
BIT,697670,B,Bestått,2014,v
BIT,697719,B,Bestått,2011,v
BIT,698425,D,Bestått,2011,v
BIT,698647,D,Bestått,2011,v
BIT,698813,F,Ikke bestått,2011,v
BIT,698813,,Trekk under eksamen (Avbrutt eksamen),2011,s
BIT,698813,F,Ikke bestått,2013,v
BIT,698813,F,Ikke bestått,2013,s
BIT,698813,F,Ikke bestått,2014,v
BIT,698813,F,Ikke bestått,2014,s
BIT,698813,F,Ikke bestått,2015,v
BIT,698813,F,Ikke bestått,2015,s
BIT,698813,F,Ikke bestått,2016,v
BIT,698813,E,Bestått,2016,s
BIT,698814,,Ikke møtt,2011,v
BIT,698814,,Ikke møtt,2013,v
BIT,698816,E,Bestått,2011,v
BIT,698820,D,Bestått,2011,v
BIT,698822,,Manglende øvinger,2010,v
BIT,698823,,Gyldig fravær,2010,v
BIT,698823,,Ikke møtt,2011,v
BIT,698824,C,Bestått,2012,v
BIT,698826,C,Bestått,2011,v
BIT,698828,C,Bestått,2010,v
BIT,698829,C,Bestått,2012,v
BIT,698832,,Ikke møtt,2011,v
BIT,698832,,Ikke møtt,2012,v
BIT,698833,,Ikke møtt,2010,s
BIT,698833,C,Bestått,2011,v
BIT,698835,F,Ikke bestått,2010,v
BIT,698835,F,Ikke bestått,2010,s
BIT,698835,D,Bestått,2011,v
BIT,698838,C,Bestått,2011,v
